Query length,Class,Accuracy,Specificity,Sensitivity,Precision
1,Airplane,0.9526315789473683,1.0,0.0526315789473684,1.0
1,Ant,0.9526315789473683,1.0,0.0526315789473684,1.0
1,Armadillo,0.9510526315789474,0.9991689750692521,0.036842105263157884,0.7
1,Bearing,0.951578947368421,0.9994459833795013,0.04210526315789472,0.8
1,Bird,0.9507894736842104,0.9990304709141273,0.03421052631578947,0.65
1,Bust,0.9513157894736841,0.9993074792243768,0.03947368421052631,0.75
1,Chair,0.9521052631578947,0.9997229916897507,0.04736842105263156,0.9
1,Cup,0.9518421052631579,0.9995844875346259,0.044736842105263144,0.85
1,Fish,0.951578947368421,0.9994459833795013,0.04210526315789472,0.8
1,FourLeg,0.9513157894736842,0.9993074792243768,0.03947368421052631,0.75
1,Glasses,0.9523684210526315,0.9998614958448753,0.049999999999999975,0.95
1,Hand,0.95,0.9986149584487534,0.02631578947368421,0.5
1,Human,0.9510526315789474,0.9991689750692521,0.036842105263157884,0.7
1,Mech,0.9513157894736842,0.9993074792243768,0.03947368421052631,0.75
1,Octopus,0.9497368421052631,0.9984764542936286,0.023684210526315787,0.45
1,Plier,0.9526315789473683,1.0,0.0526315789473684,1.0
1,Table,0.951578947368421,0.9994459833795013,0.04210526315789472,0.8
1,Teddy,0.9526315789473683,1.0,0.0526315789473684,1.0
1,Vase,0.9502631578947369,0.998753462603878,0.02894736842105263,1.0
2,Airplane,0.9547368421052636,0.9997229916897507,0.09999999999999995,0.95
2,Ant,0.9534210526315791,0.9990304709141272,0.08684210526315786,0.825
2,Armadillo,0.9513157894736841,0.9979224376731303,0.06578947368421051,0.625
2,Bearing,0.9513157894736841,0.9979224376731299,0.0657894736842105,0.625
2,Bird,0.9515789473684212,0.9980609418282548,0.06842105263157894,0.65
2,Bust,0.9513157894736844,0.9979224376731303,0.06578947368421051,0.625
2,Chair,0.9539473684210529,0.9993074792243768,0.09210526315789469,0.875
2,Cup,0.9542105263157896,0.9994459833795013,0.09473684210526312,0.9
2,Fish,0.953157894736842,0.9988919667590027,0.08421052631578944,0.8
2,FourLeg,0.9518421052631577,0.9981994459833793,0.07105263157894735,0.675
2,Glasses,0.9547368421052636,0.9997229916897507,0.09999999999999995,0.95
2,Hand,0.95,0.9972299168975068,0.05263157894736843,0.5
2,Human,0.9510526315789474,0.9977839335180055,0.06315789473684208,0.6
2,Mech,0.9513157894736842,0.9979224376731303,0.06578947368421052,0.625
2,Octopus,0.9481578947368419,0.9962603878116342,0.03421052631578947,0.325
2,Plier,0.9550000000000004,0.9998614958448753,0.10263157894736838,0.975
2,Table,0.9528947368421055,0.998753462603878,0.08157894736842106,0.775
