Mesh,Class,Area,Volume,Compactness,Diameter,Sphericity,Eccentricity,Rectangularity,Convex Hull area,Convex Hull volume,Convex Hull V/S ratio,Hull Facets num,Convex Hull compactness,a3_bin1,a3_bin2,a3_bin3,a3_bin4,a3_bin5,a3_bin6,a3_bin7,a3_bin8,a3_bin9,a3_bin10,d1_bin1,d1_bin2,d1_bin3,d1_bin4,d1_bin5,d1_bin6,d1_bin7,d1_bin8,d1_bin9,d1_bin10,d2_bin1,d2_bin2,d2_bin3,d2_bin4,d2_bin5,d2_bin6,d2_bin7,d2_bin8,d2_bin9,d2_bin10,d3_bin1,d3_bin2,d3_bin3,d3_bin4,d3_bin5,d3_bin6,d3_bin7,d3_bin8,d3_bin9,d3_bin10,d4_bin1,d4_bin2,d4_bin3,d4_bin4,d4_bin5,d4_bin6,d4_bin7,d4_bin8,d4_bin9,d4_bin10
61.off,Airplane,-0.8255934229227166,-0.5772887899520441,-0.1506337241493173,-0.7976705304668394,-0.5612690261395661,0.3715128116899733,-0.6947563415392471,-1.0724159893239529,-0.9711627047340804,-1.1950934202811987,-0.2946188728234343,0.7007219446968972,0.19279333333333332,0.19094333333333333,0.15188333333333334,0.12139666666666668,0.09360666666666667,0.07393333333333334,0.06217,0.05268,0.04139333333333333,0.0192,0.09681333333333332,0.29706,0.3487233333333333,0.12007000000000001,0.12333333333333335,0.013999999999999999,0.0,0.0,0.0,0.0,0.14792333333333332,0.2667333333333333,0.27542666666666665,0.21403333333333333,0.06441666666666666,0.021266666666666663,0.010043333333333331,0.00015666666666666666,0.0,0.0,0.13639,0.42651999999999995,0.28371,0.11939000000000001,0.03291,0.00108,0.0,0.0,0.0,0.0,0.3313966666666667,0.58409,0.08451,3.3333333333333333e-06,0.0,0.0,0.0,0.0,0.0,0.0
62.off,Airplane,-0.7625865802971984,-0.5269335599686608,-0.4042590162227779,-0.7891910646509895,-0.19803211113400127,0.19864238079661325,-0.6426617300876927,-0.7012251257401579,-0.8372403458395755,-1.076557979619872,-0.11826522881255742,0.9138867406413146,0.20688,0.19672333333333333,0.14839666666666668,0.10677,0.08246333333333332,0.06921666666666666,0.06389333333333333,0.06318,0.04670333333333333,0.015773333333333334,0.07959666666666666,0.25451999999999997,0.2314733333333333,0.22619666666666666,0.20178666666666667,0.006426666666666666,0.0,0.0,0.0,0.0,0.13267666666666664,0.22874,0.2469033333333333,0.22275333333333333,0.10499000000000001,0.04496,0.01888333333333333,9.333333333333333e-05,0.0,0.0,0.1088,0.38569000000000003,0.3143233333333333,0.13244,0.05145333333333333,0.007286666666666667,6.6666666666666675e-06,0.0,0.0,0.0,0.23335666666666666,0.62907,0.13313333333333333,0.0044399999999999995,0.0,0.0,0.0,0.0,0.0,0.0
63.off,Airplane,-0.7757891203430578,-0.5409588581834536,-0.34780223414117833,-0.8011251187691796,-0.3130240306348843,0.13491945307737818,-0.6971894410561266,-0.6707816177257141,-0.8448143437679564,-1.128597675746866,-0.2652265988216215,1.1307067363694192,0.20153666666666667,0.17242666666666667,0.16174666666666668,0.12531,0.09197666666666666,0.07085666666666668,0.059456666666666665,0.05623333333333334,0.043633333333333336,0.016823333333333333,0.06319666666666666,0.20701666666666665,0.20208333333333334,0.3182033333333333,0.20811333333333332,0.0013866666666666667,0.0,0.0,0.0,0.0,0.13335999999999998,0.17816666666666667,0.22060666666666667,0.2664666666666667,0.13959666666666667,0.05549,0.0061933333333333345,0.00011999999999999999,0.0,0.0,0.10889000000000001,0.34196,0.2865433333333333,0.15073,0.09137666666666666,0.02048,2e-05,0.0,0.0,0.0,0.24794000000000002,0.6156766666666666,0.13324666666666668,0.0031366666666666665,0.0,0.0,0.0,0.0,0.0,0.0
64.off,Airplane,-0.6387125864501204,-0.5127176075496283,-0.20593096402444927,-0.7282586657580131,-0.5078687161896762,0.5536982514304103,-0.6991881072245376,-0.5428270952023124,-0.717893145192087,-0.8557287924126814,-0.3827956948288727,0.5278255381990232,0.19467666666666664,0.18248,0.16108333333333333,0.12302333333333333,0.09196,0.07481666666666667,0.060410000000000005,0.05185,0.04292333333333333,0.016776666666666662,0.07220666666666667,0.14238666666666666,0.30068,0.2511,0.21213,0.021496666666666667,0.0,0.0,0.0,0.0,0.11191666666666666,0.19222999999999998,0.2369533333333333,0.2556833333333333,0.14026666666666668,0.04236,0.020396666666666667,0.00019333333333333333,0.0,0.0,0.08367333333333334,0.33299999999999996,0.3081366666666667,0.17504,0.08952666666666667,0.01039333333333333,0.00022999999999999998,0.0,0.0,0.0,0.21914666666666666,0.6235966666666667,0.15284,0.004416666666666667,0.0,0.0,0.0,0.0,0.0,0.0
65.off,Airplane,-0.6890842191461578,-0.542842627920877,-0.08132373260711244,-0.8021874396544271,-0.6168309922318819,0.7162621515761828,-0.8038896442238712,-0.3586130467953217,-0.724286369904525,-1.0351755038223067,-0.8824643528596904,1.258387748750991,0.20394,0.17949666666666667,0.15832000000000002,0.12181333333333333,0.08853,0.06911333333333332,0.05784666666666665,0.05334666666666667,0.04723,0.02036333333333333,0.052333333333333336,0.21999666666666667,0.21338000000000001,0.28286999999999995,0.18575999999999998,0.04566,0.0,0.0,0.0,0.0,0.1117,0.18957333333333332,0.2332433333333333,0.2489833333333333,0.13588666666666666,0.059579999999999994,0.020886666666666668,0.00014666666666666666,0.0,0.0,0.09083666666666666,0.33495,0.2987033333333333,0.16267666666666666,0.08776666666666667,0.0225,0.002556666666666667,1e-05,0.0,0.0,0.2662333333333333,0.5905633333333333,0.13810333333333333,0.0051,0.0,0.0,0.0,0.0,0.0,0.0
66.off,Airplane,-0.5569404512447681,-0.5457704375237544,0.5122093695384108,-0.6828774514501139,-0.8549747897459548,1.7141403870134662,-0.7245118275905172,-0.5119997024127287,-0.8421681200391639,-1.248731417490125,-0.8824643528596904,1.8988954867720187,0.20397666666666667,0.17568666666666666,0.15461333333333332,0.12358666666666665,0.09713666666666666,0.07421,0.057353333333333326,0.04752333333333333,0.04268,0.02323333333333333,0.05851333333333333,0.09842333333333332,0.30544666666666664,0.32777,0.17364000000000002,0.036206666666666665,0.0,0.0,0.0,0.0,0.10597333333333334,0.19156333333333334,0.2306266666666667,0.2289033333333333,0.16063666666666668,0.06340333333333334,0.01876,0.00013333333333333334,0.0,0.0,0.099,0.30705,0.29735333333333336,0.17974333333333334,0.09632333333333333,0.018886666666666663,0.0016233333333333336,2e-05,0.0,0.0,0.31873,0.59959,0.0805,0.00118,0.0,0.0,0.0,0.0,0.0,0.0
67.off,Airplane,-0.5131247649993658,-0.4841551650859264,-0.09510911702450778,-0.5342120376755396,-0.6066325705855515,0.6330451759739524,-0.7226941398714289,-0.3120812717895084,-0.6378713533824981,-0.8431010504482993,-0.6179338868433751,0.7496490868995306,0.19447666666666666,0.18351666666666666,0.15571333333333334,0.12283666666666665,0.09784333333333334,0.07607333333333334,0.058679999999999996,0.04999666666666667,0.04216333333333333,0.0187,0.07334,0.12216666666666667,0.2624433333333333,0.2460433333333333,0.2451233333333333,0.050883333333333336,0.0,0.0,0.0,0.0,0.10086666666666666,0.19908,0.22826,0.22841999999999998,0.14120333333333332,0.0666,0.035210000000000005,0.00036,0.0,0.0,0.08045,0.30741999999999997,0.31644,0.17684,0.09107,0.02505333333333333,0.002726666666666667,0.0,0.0,0.0,0.22355333333333333,0.6172,0.14462666666666665,0.014526666666666669,9.333333333333333e-05,0.0,0.0,0.0,0.0,0.0
68.off,Airplane,-0.7716965467631627,-0.5761725859583328,0.057191311562421035,0.16970062501226227,-0.7014071620504383,0.6353124804770369,-0.9391815814332656,-0.5287542631492167,-0.7750755761360806,-1.0381179244454122,-0.9118566268615032,1.0354509577649516,0.20068333333333327,0.18303333333333333,0.15690666666666667,0.12026666666666665,0.09138333333333333,0.07118333333333332,0.057093333333333336,0.05160333333333333,0.04552666666666667,0.02232,0.07669333333333334,0.16385666666666668,0.30662,0.2348233333333333,0.13735333333333333,0.07764,0.0030133333333333327,0.0,0.0,0.0,0.11012666666666666,0.18986,0.26029,0.2297933333333333,0.1181,0.07153,0.01818,0.00212,0.0,0.0,0.09538333333333332,0.33359,0.2844133333333333,0.18309333333333333,0.07547333333333334,0.02229333333333333,0.004803333333333333,0.00095,0.0,0.0,0.2832133333333333,0.59135,0.11732000000000001,0.008020000000000001,9.666666666666668e-05,0.0,0.0,0.0,0.0,0.0
69.off,Airplane,-0.6908760656728439,-0.5479316397831443,-0.02843581712077184,-0.7977671484086271,-0.6526401688491335,0.6501596015531811,-0.6356290580367694,-0.6133518941180146,-0.8376909672235433,-1.1554923182447248,-0.5885416128415624,1.3194124045154658,0.20222666666666667,0.18455,0.14996666666666664,0.11854,0.09682,0.07298666666666667,0.060886666666666665,0.054000000000000006,0.04312,0.016903333333333333,0.11715,0.22402333333333327,0.20861666666666667,0.26043,0.14999333333333334,0.039786666666666665,0.0,0.0,0.0,0.0,0.13699,0.2299666666666667,0.22835999999999998,0.2263733333333333,0.13629000000000002,0.03440666666666667,0.007409999999999999,0.00020333333333333333,0.0,0.0,0.11185999999999999,0.3919733333333333,0.2913966666666667,0.12508,0.06296333333333333,0.015046666666666668,0.00168,0.0,0.0,0.0,0.28815,0.58628,0.12312666666666665,0.002443333333333333,0.0,0.0,0.0,0.0,0.0,0.0
70.off,Airplane,-0.8050938386118155,-0.5984405854772205,0.3912058245622053,-0.7706313698538325,-0.8254466557910899,2.6045927104911626,-0.8526221332310261,-0.8640470463691287,-0.8849633871615111,-1.0813594969576628,-0.8530720788578776,0.6929095906286997,0.19535,0.18581333333333333,0.15289666666666665,0.12755,0.09386333333333333,0.07204333333333332,0.05949666666666668,0.05030666666666666,0.04146333333333333,0.02121666666666667,0.12127,0.20556,0.3852433333333333,0.15271333333333334,0.13053333333333333,0.00468,0.0,0.0,0.0,0.0,0.13822,0.2415666666666667,0.27226333333333336,0.2457266666666667,0.07051666666666667,0.02068,0.010763333333333331,0.00026333333333333336,0.0,0.0,0.13393,0.39120666666666665,0.28175666666666666,0.14847666666666667,0.044013333333333335,0.0006166666666666666,0.0,0.0,0.0,0.0,0.4186133333333333,0.5413866666666667,0.03961333333333333,0.00038666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
