Mesh,Class,Area,Volume,Compactness,Diameter,Sphericity,Eccentricity,Rectangularity,Convex Hull area,Convex Hull volume,Convex Hull V/S ratio,Hull Facets num,Convex Hull compactness
61.off,Airplane,-0.8255934229227166,-0.5772887899520441,-0.1506337241493173,-0.7976705304668394,-0.5612690261395661,0.3715128116899733,-0.6947563415392471,-1.0724159893239527,-0.9711627047340804,-1.1950934202811987,-0.2946188728234343,0.7007219446968972
62.off,Airplane,-0.7625865802971984,-0.5269335599686608,-0.4042590162227779,-0.7891910646509895,-0.19803211113400127,0.19864238079661325,-0.6426617300876927,-0.701225125740158,-0.8372403458395755,-1.076557979619872,-0.11826522881255742,0.9138867406413146
63.off,Airplane,-0.7757891203430578,-0.5409588581834536,-0.34780223414117833,-0.8011251187691796,-0.3130240306348843,0.13491945307737818,-0.6971894410561266,-0.6707816177257141,-0.8448143437679564,-1.1285976757468659,-0.2652265988216215,1.1307067363694192
64.off,Airplane,-0.6387125864501204,-0.5127176075496283,-0.20593096402444927,-0.7282586657580131,-0.5078687161896762,0.5536982514304103,-0.6991881072245376,-0.5428270952023124,-0.717893145192087,-0.8557287924126814,-0.3827956948288727,0.5278255381990232
65.off,Airplane,-0.6890842191461578,-0.542842627920877,-0.08132373260711244,-0.8021874396544271,-0.6168309922318819,0.7162621515761828,-0.8038896442238712,-0.35861304679532174,-0.724286369904525,-1.0351755038223067,-0.8824643528596904,1.258387748750991
66.off,Airplane,-0.5569404512447681,-0.5457704375237544,0.5122093695384108,-0.682877451450114,-0.8549747897459548,1.7141403870134662,-0.7245118275905172,-0.5119997024127287,-0.8421681200391639,-1.248731417490125,-0.8824643528596904,1.8988954867720187
67.off,Airplane,-0.5131247649993658,-0.4841551650859264,-0.09510911702450778,-0.5342120376755396,-0.6066325705855515,0.6330451759739524,-0.7226941398714289,-0.3120812717895084,-0.6378713533824981,-0.8431010504482993,-0.6179338868433751,0.7496490868995306
68.off,Airplane,-0.7716965467631627,-0.5761725859583328,0.05719131156242104,0.16970062501226227,-0.7014071620504383,0.6353124804770369,-0.9391815814332655,-0.5287542631492167,-0.7750755761360806,-1.0381179244454122,-0.9118566268615033,1.0354509577649516
69.off,Airplane,-0.6908760656728439,-0.5479316397831443,-0.02843581712077184,-0.7977671484086271,-0.6526401688491335,0.650159601553181,-0.6356290580367694,-0.6133518941180146,-0.8376909672235433,-1.1554923182447248,-0.5885416128415624,1.3194124045154658
70.off,Airplane,-0.8050938386118155,-0.5984405854772205,0.3912058245622053,-0.7706313698538325,-0.8254466557910899,2.6045927104911626,-0.8526221332310261,-0.8640470463691287,-0.8849633871615111,-1.0813594969576628,-0.8530720788578776,0.6929095906286997
71.off,Airplane,-0.7621352503374892,-0.5615755585179555,-0.11708389609218509,-0.8017004620147586,-0.589542454448776,0.39725938740431854,-0.7951873975890227,-0.6631375339016332,-0.8309587185081477,-1.0911325760862653,-0.5297570648379367,1.0155979429952056
72.off,Airplane,-0.8312617183459983,-0.5890468981845547,0.013033019732568879,-0.8005446251003349,-0.6775175736350141,0.9199292200518154,-0.82555003312675,-0.7772136840122913,-0.9045501185531079,-1.2326855383189725,-0.5591493388397495,1.3474604728175772
73.off,Airplane,-0.8397994583813433,-0.5876299566335823,-0.05232725317537499,-0.7926340945632712,-0.6370789879187347,0.7613690812912469,-0.8751195490532687,-0.7483736636418789,-0.8841811296437347,-1.1890688509223313,-0.8236798048560648,1.2259668618370807
74.off,Airplane,-0.8399924548919763,-0.5766384904758154,-0.21202453203423127,-0.8015452573257054,-0.5013848916900016,0.7012810894557169,-0.7723998809024448,-0.9942845955985253,-0.9604661767063404,-1.2341501743767642,-0.7061107088488136,0.9650403459178176
75.off,Airplane,-0.4544196000091583,-0.48743331027366466,0.09859366660825383,-0.6489524976080507,-0.7217077054040467,0.6762124367821787,-0.5905804729698494,-0.25126276233734496,-0.7142149137049986,-1.0898610060399458,-0.7648952568524392,1.6149539620183329
76.off,Airplane,-0.7232238277152752,-0.5265050766005595,-0.31856657913985464,-0.6812091122871973,-0.3622892007550665,0.772824958316831,-0.7549173952668516,-0.6324679370707319,-0.7825587944911879,-0.9666894567643758,-0.500364790836124,0.6930953937692235
77.off,Airplane,-0.6705806734435514,-0.5359112734588435,-0.0945555579948064,-0.6068226128324546,-0.6070496164778645,0.7451900669915957,-0.8445725102125481,-0.37299119832642136,-0.7066322097164572,-0.9757143258103129,-0.5297570648379367,1.0458203875101981
78.off,Airplane,-0.5868879086273682,-0.5306413746825452,0.13422433291956265,-0.5181737183045267,-0.7377602016177075,0.9180292463937938,-0.8868838981695497,-0.04132599741032369,-0.5611661965490481,-0.8715414192927362,-0.6179338868433751,1.1257835772526523
