Mesh name,Class name,a3_bin1,a3_bin2,a3_bin3,a3_bin4,a3_bin5,a3_bin6,a3_bin7,a3_bin8,a3_bin9,a3_bin10,d1_bin1,d1_bin2,d1_bin3,d1_bin4,d1_bin5,d1_bin6,d1_bin7,d1_bin8,d1_bin9,d1_bin10,d2_bin1,d2_bin2,d2_bin3,d2_bin4,d2_bin5,d2_bin6,d2_bin7,d2_bin8,d2_bin9,d2_bin10,d3_bin1,d3_bin2,d3_bin3,d3_bin4,d3_bin5,d3_bin6,d3_bin7,d3_bin8,d3_bin9,d3_bin10,d4_bin1,d4_bin2,d4_bin3,d4_bin4,d4_bin5,d4_bin6,d4_bin7,d4_bin8,d4_bin9,d4_bin10
61.off,Airplane,0.19279333333333334,0.19094333333333333,0.15188333333333334,0.12139666666666667,0.09360666666666667,0.07393333333333334,0.06217,0.05268,0.04139333333333333,0.0192,0.09681333333333333,0.29706,0.34872333333333333,0.12007,0.12333333333333334,0.014,0.0,0.0,0.0,0.0,0.14792333333333332,0.2667333333333333,0.27542666666666665,0.21403333333333333,0.06441666666666666,0.021266666666666666,0.010043333333333333,0.00015666666666666666,0.0,0.0,0.13639,0.42652,0.28371,0.11939,0.03291,0.00108,0.0,0.0,0.0,0.0,0.3313966666666667,0.58409,0.08451,3.3333333333333333e-06,0.0,0.0,0.0,0.0,0.0,0.0
62.off,Airplane,0.20688,0.19672333333333333,0.14839666666666668,0.10677,0.08246333333333333,0.06921666666666666,0.06389333333333333,0.06318,0.04670333333333333,0.015773333333333334,0.07959666666666666,0.25452,0.23147333333333334,0.22619666666666666,0.20178666666666667,0.0064266666666666665,0.0,0.0,0.0,0.0,0.13267666666666666,0.22874,0.24690333333333334,0.22275333333333333,0.10499,0.04496,0.018883333333333332,9.333333333333333e-05,0.0,0.0,0.1088,0.38569,0.31432333333333334,0.13244,0.05145333333333333,0.007286666666666667,6.666666666666667e-06,0.0,0.0,0.0,0.23335666666666666,0.62907,0.13313333333333333,0.00444,0.0,0.0,0.0,0.0,0.0,0.0
63.off,Airplane,0.20153666666666667,0.17242666666666667,0.16174666666666668,0.12531,0.09197666666666666,0.07085666666666667,0.059456666666666665,0.05623333333333334,0.043633333333333336,0.016823333333333333,0.06319666666666666,0.20701666666666665,0.20208333333333334,0.31820333333333334,0.20811333333333334,0.0013866666666666667,0.0,0.0,0.0,0.0,0.13336,0.17816666666666667,0.22060666666666667,0.2664666666666667,0.13959666666666667,0.05549,0.006193333333333334,0.00012,0.0,0.0,0.10889,0.34196,0.2865433333333333,0.15073,0.09137666666666666,0.02048,2e-05,0.0,0.0,0.0,0.24794,0.6156766666666666,0.13324666666666668,0.0031366666666666665,0.0,0.0,0.0,0.0,0.0,0.0
64.off,Airplane,0.19467666666666666,0.18248,0.16108333333333333,0.12302333333333333,0.09196,0.07481666666666667,0.06041,0.05185,0.042923333333333334,0.016776666666666665,0.07220666666666667,0.14238666666666666,0.30068,0.2511,0.21213,0.021496666666666667,0.0,0.0,0.0,0.0,0.11191666666666666,0.19223,0.23695333333333332,0.2556833333333333,0.14026666666666668,0.04236,0.020396666666666667,0.00019333333333333333,0.0,0.0,0.08367333333333334,0.333,0.30813666666666667,0.17504,0.08952666666666667,0.010393333333333333,0.00023,0.0,0.0,0.0,0.21914666666666666,0.6235966666666667,0.15284,0.004416666666666667,0.0,0.0,0.0,0.0,0.0,0.0
65.off,Airplane,0.20394,0.17949666666666667,0.15832,0.12181333333333333,0.08853,0.06911333333333333,0.057846666666666664,0.05334666666666667,0.04723,0.020363333333333334,0.052333333333333336,0.21999666666666667,0.21338,0.28287,0.18576,0.04566,0.0,0.0,0.0,0.0,0.1117,0.18957333333333334,0.23324333333333333,0.24898333333333333,0.13588666666666666,0.05958,0.020886666666666668,0.00014666666666666666,0.0,0.0,0.09083666666666666,0.33495,0.2987033333333333,0.16267666666666666,0.08776666666666667,0.0225,0.0025566666666666667,1e-05,0.0,0.0,0.2662333333333333,0.5905633333333333,0.13810333333333333,0.0051,0.0,0.0,0.0,0.0,0.0,0.0
66.off,Airplane,0.20397666666666667,0.17568666666666666,0.15461333333333332,0.12358666666666666,0.09713666666666666,0.07421,0.05735333333333333,0.047523333333333334,0.04268,0.023233333333333335,0.058513333333333334,0.09842333333333333,0.30544666666666664,0.32777,0.17364,0.036206666666666665,0.0,0.0,0.0,0.0,0.10597333333333334,0.19156333333333334,0.23062666666666667,0.22890333333333332,0.16063666666666668,0.06340333333333334,0.01876,0.00013333333333333334,0.0,0.0,0.099,0.30705,0.29735333333333336,0.17974333333333334,0.09632333333333333,0.018886666666666666,0.0016233333333333334,2e-05,0.0,0.0,0.31873,0.59959,0.0805,0.00118,0.0,0.0,0.0,0.0,0.0,0.0
67.off,Airplane,0.19447666666666666,0.18351666666666666,0.15571333333333334,0.12283666666666666,0.09784333333333334,0.07607333333333334,0.05868,0.04999666666666667,0.04216333333333333,0.0187,0.07334,0.12216666666666667,0.2624433333333333,0.24604333333333334,0.24512333333333333,0.050883333333333336,0.0,0.0,0.0,0.0,0.10086666666666666,0.19908,0.22826,0.22842,0.14120333333333332,0.0666,0.03521,0.00036,0.0,0.0,0.08045,0.30742,0.31644,0.17684,0.09107,0.025053333333333334,0.0027266666666666667,0.0,0.0,0.0,0.22355333333333333,0.6172,0.14462666666666665,0.014526666666666667,9.333333333333333e-05,0.0,0.0,0.0,0.0,0.0
68.off,Airplane,0.20068333333333332,0.18303333333333333,0.15690666666666667,0.12026666666666666,0.09138333333333333,0.07118333333333333,0.057093333333333336,0.051603333333333334,0.04552666666666667,0.02232,0.07669333333333334,0.16385666666666668,0.30662,0.23482333333333333,0.13735333333333333,0.07764,0.003013333333333333,0.0,0.0,0.0,0.11012666666666666,0.18986,0.26029,0.22979333333333332,0.1181,0.07153,0.01818,0.00212,0.0,0.0,0.09538333333333333,0.33359,0.28441333333333335,0.18309333333333333,0.07547333333333334,0.02229333333333333,0.004803333333333333,0.00095,0.0,0.0,0.2832133333333333,0.59135,0.11732,0.00802,9.666666666666667e-05,0.0,0.0,0.0,0.0,0.0
69.off,Airplane,0.20222666666666667,0.18455,0.14996666666666666,0.11854,0.09682,0.07298666666666667,0.060886666666666665,0.054,0.04312,0.016903333333333333,0.11715,0.22402333333333332,0.20861666666666667,0.26043,0.14999333333333334,0.039786666666666665,0.0,0.0,0.0,0.0,0.13699,0.22996666666666668,0.22836,0.22637333333333334,0.13629,0.03440666666666667,0.00741,0.00020333333333333333,0.0,0.0,0.11186,0.39197333333333334,0.2913966666666667,0.12508,0.06296333333333333,0.015046666666666667,0.00168,0.0,0.0,0.0,0.28815,0.58628,0.12312666666666666,0.0024433333333333334,0.0,0.0,0.0,0.0,0.0,0.0
70.off,Airplane,0.19535,0.18581333333333333,0.15289666666666665,0.12755,0.09386333333333333,0.07204333333333333,0.05949666666666667,0.050306666666666666,0.04146333333333333,0.02121666666666667,0.12127,0.20556,0.3852433333333333,0.15271333333333334,0.13053333333333333,0.00468,0.0,0.0,0.0,0.0,0.13822,0.24156666666666668,0.27226333333333336,0.24572666666666668,0.07051666666666667,0.02068,0.010763333333333333,0.00026333333333333336,0.0,0.0,0.13393,0.39120666666666665,0.28175666666666666,0.14847666666666667,0.044013333333333335,0.0006166666666666666,0.0,0.0,0.0,0.0,0.41861333333333334,0.5413866666666667,0.039613333333333334,0.00038666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
71.off,Airplane,0.19976333333333332,0.17637666666666665,0.15787666666666667,0.12716666666666668,0.09452666666666666,0.07180333333333333,0.058673333333333334,0.0513,0.04375,0.018763333333333333,0.08681,0.18163,0.26072666666666666,0.34356333333333333,0.12262333333333333,0.004646666666666667,0.0,0.0,0.0,0.0,0.12671333333333334,0.20684333333333332,0.23136,0.26674,0.12694,0.035,0.0062766666666666665,0.00012666666666666666,0.0,0.0,0.10798,0.36227333333333334,0.29341,0.14477666666666666,0.07876,0.0128,0.0,0.0,0.0,0.0,0.2986933333333333,0.6122966666666667,0.085,0.00401,0.0,0.0,0.0,0.0,0.0,0.0
72.off,Airplane,0.20105666666666666,0.17854666666666666,0.15762333333333334,0.12453333333333333,0.09263666666666667,0.07270333333333333,0.058243333333333334,0.04859,0.044803333333333334,0.021263333333333332,0.11167,0.18842333333333333,0.29019333333333336,0.2871433333333333,0.11965666666666666,0.0029133333333333333,0.0,0.0,0.0,0.0,0.13279333333333335,0.21543666666666667,0.26748666666666665,0.24398,0.10977333333333333,0.022623333333333332,0.00781,9.666666666666667e-05,0.0,0.0,0.12409333333333333,0.38277,0.27584333333333333,0.14365666666666665,0.06833,0.005306666666666667,0.0,0.0,0.0,0.0,0.3629733333333333,0.58607,0.049523333333333336,0.0014333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
73.off,Airplane,0.20424,0.17952333333333334,0.15585666666666667,0.12386666666666667,0.0902,0.06989666666666666,0.05799,0.051976666666666664,0.04475333333333333,0.021696666666666666,0.10920333333333333,0.23512,0.23528333333333334,0.2811266666666667,0.12568333333333334,0.013583333333333333,0.0,0.0,0.0,0.0,0.13904333333333332,0.21340666666666666,0.2806533333333333,0.22799333333333333,0.10385666666666667,0.029,0.0059633333333333335,8.333333333333333e-05,0.0,0.0,0.12859666666666666,0.39511,0.2668833333333333,0.14443666666666666,0.05518666666666667,0.00954,0.0002466666666666667,0.0,0.0,0.0,0.39093666666666665,0.54959,0.05798333333333333,0.00149,0.0,0.0,0.0,0.0,0.0,0.0
74.off,Airplane,0.19336666666666666,0.18391666666666667,0.15832666666666667,0.12497666666666667,0.09375666666666667,0.07144,0.05905,0.05354333333333333,0.040883333333333334,0.02074,0.07387333333333333,0.2648933333333333,0.3573633333333333,0.18486666666666668,0.10340333333333333,0.0156,0.0,0.0,0.0,0.0,0.13978,0.22935,0.2907666666666667,0.22075666666666666,0.09391333333333333,0.01748,0.00785,0.00010333333333333333,0.0,0.0,0.13310333333333332,0.39859,0.27576666666666666,0.14541,0.04245,0.004653333333333333,2.6666666666666667e-05,0.0,0.0,0.0,0.3850633333333333,0.56835,0.04626,0.0003266666666666667,0.0,0.0,0.0,0.0,0.0,0.0
